行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,组合导航位移
1,0.136952,0.110263,0.0381245,0.0367144,0.0623987,0.0570505
1,0.141667,0.113499,0.0381245,0.0384412,0.0647607,0.0593244
1,0.1465,0.117129,0.0381245,0.0403443,0.0673575,0.0617844
1,0.149513,0.120756,0.0381245,0.0421828,0.0698372,0.0641894
1,0.153322,0.124861,0.0463125,0.0442134,0.0725431,0.0667918
1,0.158083,0.128905,0.0463125,0.0461773,0.0751514,0.0693367
1,0.163218,0.133438,0.0463125,0.0483486,0.0780157,0.0720941
1,0.165141,0.137878,0.0535558,0.0504501,0.0807298,0.0747871
1,0.169926,0.142804,0.0535558,0.0527744,0.0837014,0.0777025
1,0.173531,0.147846,0.0535558,0.0551802,0.0867307,0.0807019
1,0.178425,0.152635,0.0535558,0.0575057,0.0896441,0.0836242
1,0.183024,0.157682,0.06214,0.060069,0.0928253,0.0867824
1,0.185154,0.162252,0.06214,0.062537,0.0958396,0.0898462
1,0.190098,0.166841,0.06214,0.0652432,0.0991339,0.0931453
1,0.194341,0.170785,0.06214,0.0678346,0.102286,0.0963329
1,0.197388,0.174383,0.0729869,0.0704773,0.105484,0.0995703
1,0.200789,0.177948,0.0729869,0.073353,0.108949,0.103039
1,0.205253,0.181405,0.0729869,0.0762831,0.112486,0.106564
1,0.210123,0.184734,0.0729869,0.0790791,0.115875,0.109957
1,0.214562,0.188557,0.0846461,0.0821266,0.119561,0.1136
1,0.216589,0.192499,0.0846461,0.0850436,0.123047,0.117112
1,0.219829,0.196787,0.0846461,0.0880276,0.126581,0.120684
1,0.223441,0.201301,0.0970929,0.0910809,0.13017,0.124318
1,0.228765,0.206151,0.0970929,0.0944182,0.134083,0.128232
1,0.232391,0.210536,0.0970929,0.0976091,0.137806,0.132
1,0.236223,0.214884,0.0970929,0.101082,0.141838,0.136047
1,0.237619,0.218837,0.109489,0.104615,0.145893,0.140152
1,0.240955,0.222217,0.109489,0.107974,0.149744,0.14408
1,0.245124,0.225343,0.109489,0.111377,0.153658,0.14805
1,0.250538,0.228349,0.123979,0.114825,0.157653,0.152063
1,0.252815,0.231552,0.123979,0.118555,0.161951,0.156356
1,0.254537,0.234655,0.123979,0.122099,0.166006,0.160459
1,0.258449,0.237918,0.123979,0.125692,0.17012,0.164607
1,0.260434,0.241609,0.138538,0.129587,0.174539,0.16905
1,0.263856,0.245234,0.138538,0.133293,0.178734,0.1733
1,0.265732,0.248998,0.138538,0.137056,0.182957,0.177598
1,0.267559,0.253078,0.138538,0.141138,0.187491,0.182203
1,0.271828,0.256886,0.154255,0.14502,0.191805,0.186603
1,0.272875,0.260772,0.154255,0.149223,0.196424,0.191313
1,0.275556,0.264133,0.154255,0.15321,0.200794,0.1958
1,0.277901,0.267099,0.154255,0.157239,0.2052,0.20032
1,0.280381,0.269645,0.170002,0.161303,0.209643,0.204866
1,0.282741,0.271995,0.170002,0.165674,0.214419,0.209713
1,0.28777,0.273781,0.170002,0.169794,0.218973,0.21431
1,0.287233,0.275318,0.170002,0.173935,0.223518,0.218923
1,0.287078,0.276723,0.170002,0.178374,0.228364,0.223827
1,0.290631,0.277943,0.18711,0.182552,0.232961,0.228469
1,0.294499,0.279295,0.18711,0.187032,0.237926,0.233412
1,0.294663,0.280743,0.18711,0.191254,0.242583,0.238095
1,0.293979,0.282325,0.204428,0.1955,0.247229,0.242796
1,0.295895,0.2842,0.204428,0.200063,0.252216,0.247807
1,0.296935,0.286281,0.204428,0.20466,0.25722,0.252847
1,0.299615,0.288274,0.204428,0.208999,0.261951,0.257626
1,0.297633,0.290222,0.221484,0.213367,0.266653,0.262424
1,0.299074,0.292125,0.221484,0.218056,0.271691,0.267534
1,0.299046,0.293777,0.221484,0.22277,0.276728,0.272662
1,0.299817,0.295062,0.239965,0.227205,0.281463,0.277504
1,0.298173,0.296056,0.239965,0.23195,0.286486,0.282645
1,0.29897,0.296703,0.239965,0.236702,0.291523,0.287785
1,0.300265,0.29709,0.239965,0.241162,0.296263,0.292624
1,0.300741,0.297302,0.258254,0.245623,0.301012,0.297457
1,0.299078,0.297469,0.258254,0.250384,0.30605,0.302581
1,0.297902,0.297509,0.258254,0.254847,0.310755,0.307397
1,0.298993,0.297495,0.258254,0.259309,0.315477,0.312204
