dt,acc_x,acc_y,gyr_x,gyr_y,r_imu,p_imu,y_imu,r_cal,p_cal,y_cal,ax_n_imu,ay_n_imu,ax_n_cal,ay_n_cal,ax_n_cal_kalman,dax_n_cal_kalman,dax_n_imu,dax_n_cal
0.016,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0170383,-0.131885,0,-0.000286825,0.000460597,0.00109186,-4.25903e-05,-8.58708e-05,2.28471e-05,0.000979131,0.000884226
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0170571,-0.132367,0,-0.000286825,0.000460597,0.00101,-3.93996e-05,-0.000112383,2.65127e-05,0,8.18595e-05
0.016,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0170756,-0.132842,0,-0.000286825,0.000460597,0.000929238,-3.6252e-05,-0.000142234,2.9851e-05,0,8.07662e-05
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0170916,-0.133253,0,-0.000286825,0.000460597,0.000859577,-3.35367e-05,-0.00017431,3.20753e-05,0,6.96611e-05
0.016,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0171074,-0.133657,0,-0.000286825,0.000460597,0.00079084,-3.0858e-05,-0.000208395,3.40853e-05,0,6.87372e-05
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0171211,-0.134007,0,-0.000284432,0.000460255,0.000733672,-2.88179e-05,-0.000243432,3.50368e-05,2.3935e-06,5.71683e-05
0.016,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0171347,-0.134352,0,-0.000284432,0.000460255,0.000675015,-2.65168e-05,-0.000279488,3.60566e-05,0,5.86566e-05
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0171463,-0.13465,0,-0.000284432,0.000460255,0.00062442,-2.45317e-05,-0.000315859,3.63703e-05,0,5.0595e-05
0.016,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0171579,-0.134944,0,-0.000284432,0.000460255,0.000574501,-2.25734e-05,-0.000352481,3.66218e-05,0,4.99189e-05
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0171678,-0.135197,0,-0.000284432,0.000460255,0.000531444,-2.08844e-05,-0.000388798,3.63178e-05,0,4.30569e-05
0.016,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0171776,-0.135448,0,-0.000284432,0.000460255,0.000488959,-1.92176e-05,-0.000424801,3.60029e-05,0,4.24851e-05
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.017186,-0.135662,0,-0.000286825,0.000460597,0.000450179,-1.75089e-05,-0.000460227,3.54262e-05,2.3935e-06,3.87803e-05
0.016,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0171942,-0.135874,0,-0.000286825,0.000460597,0.000414198,-1.61121e-05,-0.000494906,3.46786e-05,0,3.59807e-05
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0172013,-0.136057,0,-0.000286825,0.000460597,0.000383165,-1.49074e-05,-0.000528506,3.35998e-05,0,3.10335e-05
0.016,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0172081,-0.136236,0,-0.000289217,0.000460939,0.000350406,-1.3449e-05,-0.000561254,3.27482e-05,2.39164e-06,3.27583e-05
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.017214,-0.13639,0,-0.000289217,0.000460939,0.000324156,-1.24439e-05,-0.000592702,3.1448e-05,0,2.62503e-05
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0172195,-0.136533,0,-0.000289217,0.000460939,0.000299875,-1.15146e-05,-0.000622796,3.00944e-05,0,2.42814e-05
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0172246,-0.136665,0,-0.000289217,0.000460939,0.000277413,-1.06548e-05,-0.000651499,2.8703e-05,0,2.24616e-05
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0172292,-0.136788,0,-0.000289217,0.000460939,0.000256639,-9.85921e-06,-0.000678786,2.72869e-05,0,2.07741e-05
0.016,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0172339,-0.136908,0,-0.000289217,0.000460939,0.000236141,-9.07481e-06,-0.000704747,2.59608e-05,0,2.04984e-05
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0172378,-0.137012,0,-0.000289217,0.000460939,0.00021846,-8.3982e-06,-0.000729262,2.45151e-05,0,1.76802e-05
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0172415,-0.137108,0,-0.000289217,0.000460939,0.000202106,-7.77189e-06,-0.00075234,2.30773e-05,0,1.6354e-05
0.016,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0172452,-0.137203,0,-0.000289217,0.000460939,0.000185968,-7.15419e-06,-0.000774075,2.17353e-05,0,1.6138e-05
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0172483,-0.137285,0,-0.000289217,0.000460939,0.000172051,-6.62194e-06,-0.000794397,2.03224e-05,0,1.39177e-05
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0172513,-0.137362,0,-0.000286825,0.000460597,0.000161348,-6.40168e-06,-0.000813162,1.87647e-05,2.39164e-06,1.07028e-05
0.015,-0.0234992,0.0029374,0,-0.01,-0.02,-0.14,0,-0.0172541,-0.137583,0,-0.000286825,0.000460597,0.000123791,-5.92507e-06,-0.000832625,1.94634e-05,0,3.75565e-05
0.015,-0.0225201,0.0029374,0,-0.01,-0.02,-0.14,0,-0.0172567,-0.137355,0,-0.00126596,0.000460597,-0.000816645,-5.48479e-06,-0.000924496,9.18709e-05,0.000979131,0.000940436
0.016,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0172593,-0.136971,0,-0.00126596,0.000460597,-0.000751287,-5.04986e-06,-0.00100379,7.92972e-05,0,6.53584e-05
0.015,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0172615,-0.136639,0,-0.00126596,0.000460597,-0.000694912,-4.67477e-06,-0.00107212,6.83259e-05,0,5.63748e-05
0.016,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0172637,-0.136312,0,-0.00126596,0.000460597,-0.000639286,-4.30481e-06,-0.00113031,5.81914e-05,0,5.5626e-05
0.015,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0172655,-0.136029,0,-0.00126596,0.000460597,-0.00059131,-3.98583e-06,-0.00117969,4.93823e-05,0,4.79762e-05
0.016,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0172674,-0.135751,0,-0.00126596,0.000460597,-0.000543974,-3.67081e-06,-0.00122094,4.12506e-05,0,4.73354e-05
0.016,-0.0225201,0.0029374,0,-0.01,-0.02,-0.14,0,-0.0172691,-0.135654,0,-0.00126596,0.000460597,-0.000527609,-3.38117e-06,-0.00125709,3.61504e-05,0,1.63652e-05
0.015,-0.0225201,0.0029374,0,-0.01,-0.02,-0.14,0,-0.0172706,-0.135571,0,-0.00126596,0.000460597,-0.0005135,-3.13111e-06,-0.00128869,3.1595e-05,0,1.41095e-05
0.015,-0.0225201,0.0029374,0,-0.01,-0.02,-0.14,0,-0.0172719,-0.135494,0,-0.00126596,0.000460597,-0.000500439,-2.90037e-06,-0.00131614,2.7451e-05,0,1.30609e-05
0.016,-0.0225201,0.0029374,0,-0.01,-0.02,-0.14,0,-0.0172733,-0.135418,0,-0.00126596,0.000460597,-0.000487557,-2.67196e-06,-0.00133976,2.36204e-05,0,1.28821e-05
0.015,-0.0225201,0.0029374,0,-0.01,-0.02,-0.14,0,-0.0172744,-0.135353,0,-0.00126596,0.000460597,-0.000476446,-2.47546e-06,-0.00135997,2.02076e-05,0,1.11107e-05
0.016,-0.0225201,0.0029374,-0.01,-0.01,-0.02,-0.14,0,-0.0174356,-0.135289,0,-0.00126596,0.000460597,-0.000465482,2.49024e-05,-0.00137702,1.70548e-05,0,1.09635e-05
0.015,-0.0234992,0.0029374,-0.01,-0.01,-0.02,-0.14,0,-0.0175746,-0.135665,0,-0.000286825,0.000460597,0.00044967,4.85154e-05,-0.0013198,5.72189e-05,0.000979131,0.000915153
0.015,-0.0234992,0.0029374,-0.01,-0,-0.02,-0.14,0,-0.0177035,-0.135863,0,-0.000286825,0.000460597,0.000415986,7.04178e-05,-0.00126838,5.14267e-05,0,3.36841e-05
0.015,-0.0234992,0.0029374,-0.01,-0,-0.02,-0.14,0,-0.0178227,-0.136047,0,-0.000286825,0.000460597,0.000384828,9.06782e-05,-0.00122215,4.62239e-05,0,3.11583e-05
0.015,-0.0234992,0.0029374,-0.01,-0,-0.02,-0.14,0,-0.017933,-0.136216,0,-0.000286825,0.000460597,0.000356004,0.000109419,-0.0011806,4.15546e-05,0,2.88244e-05
0.016,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0178815,-0.136384,0,-0.000286825,0.000460597,0.000327555,0.000100661,-0.00114337,3.72279e-05,0,2.84482e-05
0.015,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.017837,-0.136096,0,-0.00126596,0.000460597,-0.000602681,9.31083e-05,-0.00118117,3.77941e-05,0.000979131,0.000930237
0.015,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0177959,-0.13583,0,-0.00126596,0.000460597,-0.000557449,8.61215e-05,-0.00121198,3.08175e-05,0,4.52325e-05
0.016,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0177553,-0.135567,0,-0.00126596,0.000460597,-0.000512825,7.92283e-05,-0.00123637,2.43833e-05,0,4.46234e-05
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0177203,-0.135773,0,-0.000286825,0.000460597,0.000431366,7.32818e-05,-0.00118406,5.23065e-05,0.000979131,0.000944192
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.017688,-0.135963,0,-0.000286825,0.000460597,0.000399046,6.77819e-05,-0.00113717,4.68886e-05,0,3.23206e-05
0.016,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.017656,-0.136151,0,-0.000286825,0.000460597,0.000367157,6.23553e-05,-0.0010953,4.18699e-05,0,3.18885e-05
0.016,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0176266,-0.136323,0,-0.000286825,0.000460597,0.000337817,5.7363e-05,-0.00105791,3.73892e-05,0,2.93404e-05
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0176017,-0.136472,0,-0.000286825,0.000460597,0.000312516,5.31182e-05,-0.00102439,3.35266e-05,0,2.53003e-05
0.015,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0175785,-0.136178,0,-0.00126596,0.000460597,-0.000616582,4.91906e-05,-0.00106536,4.09724e-05,0.000979131,0.000929099
0.016,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0175554,-0.135887,0,-0.00126596,0.000460597,-0.000567224,4.52518e-05,-0.00109891,3.35514e-05,0,4.93582e-05
0.016,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.017534,-0.13562,0,-0.00126596,0.000460597,-0.000521813,4.16276e-05,-0.00112587,2.69625e-05,0,4.54113e-05
0.015,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0175156,-0.13539,0,-0.00126596,0.000460597,-0.000482654,3.85023e-05,-0.0011472,2.13286e-05,0,3.91584e-05
0.016,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0174975,-0.135162,0,-0.00126596,0.000460597,-0.000444006,3.54177e-05,-0.00116333,1.61333e-05,0,3.8648e-05
0.015,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0174818,-0.134966,0,-0.00126596,0.000460597,-0.00041068,3.27581e-05,-0.00117506,1.17233e-05,0,3.33264e-05
0.016,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0174665,-0.134774,0,-0.00126356,0.000460255,-0.000375668,2.9858e-05,-0.00118255,7.49528e-06,2.3935e-06,3.50121e-05
0.015,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0174533,-0.134607,0,-0.00126356,0.000460255,-0.000347465,2.76149e-05,-0.00118665,4.10143e-06,0,2.82023e-05
0.015,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0174411,-0.134454,0,-0.00126356,0.000460255,-0.000321377,2.55401e-05,-0.00118777,1.11654e-06,0,2.60882e-05
