dt,acc_x,acc_y,gyr_x,gyr_y,r_imu,p_imu,y_imu,r_cal,p_cal,y_cal,ax_n_imu,ay_n_imu,ax_n_cal,ay_n_cal,ax_n_cal_kalman,dax_n_imu,dax_n_cal,
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.009113,-0.147751,0,-2.50004E-05,-0.000259439,0.000357097,-0.000410125,-0.000992371,0,-2.8912E-05,5.82600000000001E-06
0.016,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.00930653,-0.147919,0,-2.50004E-05,-0.000259439,0.000328569,-0.000377248,-0.000998883,0,-2.85283E-05,6.51199999999997E-06
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.00947306,-0.148064,0,-2.50004E-05,-0.000259439,0.000303967,-0.000348957,-0.00100573,0,-2.46018E-05,6.84699999999993E-06
0.016,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.00963737,-0.148207,0,-2.50004E-05,-0.000259439,0.000279682,-0.000321044,-0.00101289,0,-2.42852E-05,7.15999999999998E-06
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.00977909,-0.14833,0,-2.50004E-05,-0.000259439,0.000258738,-0.000296968,-0.00102008,0,-2.09436E-05,7.19000000000002E-06
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.00991018,-0.148444,0,-2.50004E-05,-0.000259439,0.000239367,-0.000274698,-0.00102719,0,-1.93715E-05,7.11000000000006E-06
0.016,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.0100395,-0.148556,0,-2.50004E-05,-0.000259439,0.000220256,-0.000252725,-0.00103423,0,-1.91107E-05,7.03999999999982E-06
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.0101511,-0.148653,0,-2.50004E-05,-0.000259439,0.000203768,-0.000233774,-0.00104099,0,-1.64881E-05,6.76000000000019E-06
0.016,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.0102611,-0.148748,0,-2.75653E-05,-0.000259268,0.000185162,-0.000214915,-0.00104769,-2.56486E-06,-1.8606E-05,6.69999999999989E-06
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.0103559,-0.148829,0,-2.75653E-05,-0.000259268,0.000171309,-0.000198799,-0.00105395,0,-1.38525E-05,6.26000000000012E-06
0.016,-0.0264366,0.00195827,0,0,-0.01,-0.15,0,-0.0104495,-0.149371,0,0.000951564,-0.000259268,0.00105844,-0.000182898,-0.000988376,0.000979129,0.000887135,6.55740000000001E-05
0.015,-0.0264366,0.00195827,0,0,-0.01,-0.15,0,-0.0105302,-0.149838,0,0.000951564,-0.000259268,0.000979094,-0.000169184,-0.000932647,0,-7.93505E-05,5.57289999999999E-05
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.0106049,-0.149838,0,-2.75653E-05,-0.000259268,0,-0.000156498,-0.000957371,-0.000979129,-0.000979094,2.47239999999999E-05
0.016,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.0106786,-0.149838,0,-2.75653E-05,-0.000259268,3.72529E-08,-0.000143981,-0.000979373,0,3.72529E-08,2.20019999999999E-05
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.0107421,-0.149837,0,-2.75653E-05,-0.000259268,6.70552E-08,-0.000133185,-0.000998855,0,2.98023E-08,1.94820000000001E-05
0.016,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.0108048,-0.149837,0,-2.75653E-05,-0.000259268,9.49949E-08,-0.000122533,-0.001016,0,2.79397E-08,1.71449999999999E-05
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.0108593,-0.149837,0,-2.75653E-05,-0.000259268,1.22935E-07,-0.000113279,-0.001031,0,2.79397E-08,1.5E-05
0.016,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.010913,-0.149837,0,-2.75653E-05,-0.000259268,1.546E-07,-0.000104148,-0.00104399,0,3.1665E-08,1.299E-05
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.0109594,-0.149837,0,-2.75653E-05,-0.000259268,1.82539E-07,-9.62731E-05,-0.00105514,0,2.79397E-08,1.11499999999999E-05
0.016,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.0110051,-0.149837,0,-2.75653E-05,-0.000259268,2.06754E-07,-8.8503E-05,-0.00106458,0,2.42144E-08,9.4400000000001E-06
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.0110445,-0.149836,0,-2.75653E-05,-0.000259268,2.29105E-07,-8.18014E-05,-0.00107245,0,2.23517E-08,7.86999999999988E-06
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.011081,-0.149836,0,-2.75653E-05,-0.000259268,2.49594E-07,-7.56021E-05,-0.00107887,0,2.04891E-08,6.42000000000004E-06
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.0111148,-0.149836,0,-2.75653E-05,-0.000259268,2.70084E-07,-6.98679E-05,-0.00108394,0,2.04891E-08,5.07000000000003E-06
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.011146,-0.149836,0,-2.75653E-05,-0.000259268,2.8871E-07,-6.45639E-05,-0.00108777,0,1.86265E-08,3.83000000000002E-06
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.0111745,-0.149836,0,-2.75653E-05,-0.000259268,2.98023E-07,-5.97241E-05,-0.00109047,0,9.31323E-09,2.70000000000001E-06
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.0112008,-0.149836,0,-2.75653E-05,-0.000259268,3.11062E-07,-5.52472E-05,-0.00109211,0,1.30385E-08,1.64000000000002E-06
0.016,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.0112269,-0.149837,0,-2.50004E-05,-0.000259439,2.67848E-06,-5.10062E-05,-0.0010926,2.56486E-06,2.36742E-06,4.89999999999909E-07
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.0112494,-0.149838,0,-2.50004E-05,-0.000259439,2.50898E-06,-4.71835E-05,-0.00109223,0,-1.69501E-07,3.69999999999971E-07
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.0112702,-0.149839,0,-2.50004E-05,-0.000259439,2.35438E-06,-4.36472E-05,-0.00109106,0,-1.546E-07,1.16999999999999E-06
0.015,-0.0254575,0.000979134,0,0,-0.01,-0.15,0,-0.0108572,-0.14984,0,-2.50004E-05,0.000719695,2.21096E-06,0.000865325,-0.00108917,0,-1.43424E-07,1.89000000000005E-06
0.016,-0.0254575,0.000979134,0,0.01,-0.01,-0.15,0,-0.0104497,-0.149681,0,-2.50004E-05,0.000719695,2.9251E-05,0.000796098,-0.00108447,0,2.704E-05,4.70000000000006E-06
0.015,-0.0254575,0.00195827,0,0.01,-0.01,-0.15,0,-0.0105305,-0.149543,0,-2.50004E-05,-0.000259439,5.25694E-05,-0.000169311,-0.00107747,0,2.33185E-05,6.99999999999985E-06
0.015,-0.0254575,0.00195827,0,0.01,-0.01,-0.15,0,-0.0106053,-0.149416,0,-2.50004E-05,-0.000259439,7.41445E-05,-0.000156615,-0.00106848,0,2.1575E-05,8.98999999999995E-06
0.016,-0.0254575,0.00195827,0,0.01,-0.01,-0.15,0,-0.010679,-0.149291,0,-2.50004E-05,-0.000259439,9.54289E-05,-0.000144089,-0.00105765,0,2.12844E-05,1.08300000000001E-05
0.015,-0.0254575,0.00195827,0,0.01,-0.01,-0.15,0,-0.0107426,-0.149183,0,-2.50004E-05,-0.000259439,0.000113785,-0.000133285,-0.00104537,0,1.83564E-05,1.22799999999999E-05
0.015,-0.0254575,0.00195827,0,0.01,-0.01,-0.15,0,-0.0108014,-0.149083,0,-2.50004E-05,-0.000259439,0.000130769,-0.000123291,-0.00103185,0,1.69836E-05,1.35200000000002E-05
0.016,-0.0254575,0.00195827,0,0.01,-0.01,-0.15,0,-0.0108595,-0.148984,0,-2.50004E-05,-0.000259439,0.000147523,-0.000113431,-0.00101721,0,1.67545E-05,1.464E-05
0.015,-0.0254575,0.000979134,0,0.01,-0.01,-0.15,0,-0.0104773,-0.148899,0,-2.50004E-05,0.000719695,0.000161976,0.000800775,-0.00100171,0,1.44523E-05,1.54999999999999E-05
0.016,-0.0254575,0.000979134,0,0.01,-0.01,-0.15,0,-0.0101002,-0.148815,0,-2.50004E-05,0.000719695,0.000176236,0.000736712,-0.000985443,0,1.42604E-05,1.62669999999999E-05
0.015,-0.0254575,0.000979134,0.01,0.01,-0.01,-0.15,0,-0.00962493,-0.148743,0,-2.50004E-05,0.000719695,0.000188529,0.000655976,-0.000968618,0,1.22935E-05,1.6825E-05
0.016,-0.0254575,0.000979134,0.01,0,-0.01,-0.15,0,-0.00915643,-0.148832,0,-2.50004E-05,0.000719695,0.000173489,0.000576387,-0.000953426,0,-1.50409E-05,1.5192E-05
0.016,-0.0254575,0.000979134,0.01,0,-0.01,-0.15,0,-0.008725,-0.148913,0,-2.50004E-05,0.000719695,0.000159644,0.000503094,-0.000939667,0,-1.3845E-05,1.3759E-05
0.015,-0.0254575,0.000979134,0.01,0,-0.01,-0.15,0,-0.00835328,-0.148983,0,-2.50004E-05,0.000719695,0.000147706,0.000439945,-0.000927103,0,-1.19377E-05,1.2564E-05
0.015,-0.0254575,0.000979134,0.01,0,-0.01,-0.15,0,-0.00800944,-0.149048,0,-2.50004E-05,0.000719695,0.000136668,0.000381532,-0.000915588,0,-1.1038E-05,1.1515E-05
0.015,-0.0254575,0.00195827,0.01,0,-0.01,-0.15,0,-0.00812364,-0.149108,0,-2.50004E-05,-0.000259439,0.000126455,-0.0005782,-0.000904993,0,-1.02129E-05,1.0595E-05
0.016,-0.0264366,0.00195827,0.01,0,-0.01,-0.15,0,-0.00823632,-0.149629,0,0.000954129,-0.000259439,0.00101718,-0.000559058,-0.000824915,0.000979129,0.000890724,8.0078E-05
