dt,acc_x,acc_y,gyr_x,gyr_y,r_imu,p_imu,y_imu,r_cal,p_cal,y_cal,ax_n_imu,ay_n_imu,ax_n_cal,ay_n_cal,dax_n_imu,dax_n_cal
0.016,-0.0244783,-0.0029374,-0.01,-0,0.02,-0.14,0,0.017261,-0.144739,0,0.000697093,-0.000459913,-0.000107894,5.34393e-06,0,9.42126e-06
0.015,-0.0244783,-0.0029374,-0.01,-0,0.02,-0.14,0,0.0171134,-0.144691,0,0.000697093,-0.000459913,-9.97707e-05,3.04268e-05,0,8.123e-06
0.016,-0.0244783,-0.0029374,-0.01,-0,0.02,-0.14,0,0.0169677,-0.144644,0,0.000697093,-0.000459913,-9.17558e-05,5.51748e-05,0,8.01496e-06
0.015,-0.0244783,-0.0029374,-0.01,-0,0.02,-0.14,0,0.016842,-0.144603,0,0.000697093,-0.000459913,-8.48435e-05,7.65196e-05,0,6.91228e-06
0.016,-0.0244783,-0.0029374,-0.01,-0,0.02,-0.14,0,0.0167176,-0.144563,0,0.000697093,-0.000459913,-7.80299e-05,9.76494e-05,0,6.81356e-06
0.015,-0.0244783,-0.0029374,-0.01,-0,0.02,-0.14,0,0.0166103,-0.144529,0,0.000697093,-0.000459913,-7.21496e-05,0.000115874,0,5.88037e-06
0.016,-0.0244783,-0.00195827,-0.01,-0,0.02,-0.14,0,0.0160434,-0.144494,0,0.000697093,-0.00143905,-6.6353e-05,-0.000766951,0,5.79655e-06
0.015,-0.0244783,-0.00195827,-0.01,-0,0.02,-0.14,0,0.0155543,-0.144465,0,0.000697093,-0.00143905,-6.13518e-05,-0.000683884,0,5.0012e-06
0.015,-0.0244783,-0.00195827,-0.01,-0,0.02,-0.14,0,0.015102,-0.144438,0,0.000697093,-0.00143905,-5.67287e-05,-0.000607047,0,4.62309e-06
0.015,-0.0254575,-0.00195827,-0.01,-0,0.02,-0.14,0,0.0146836,-0.144845,0,0.00167622,-0.00143905,0.000853246,-0.000535973,0.000979131,0.000909975
0.016,-0.0254575,-0.0029374,-0.01,0.01,0.02,-0.14,0,0.0147319,-0.145087,0,0.00167622,-0.000459913,0.000812193,0.00043496,0,-4.10527e-05
0.015,-0.0254575,-0.0029374,0,0.01,0.02,-0.14,0,0.0149235,-0.145295,0,0.00167622,-0.000459913,0.000776786,0.000402407,0,-3.5407e-05
0.016,-0.0254575,-0.0029374,0,0.01,0.02,-0.14,0,0.0151126,-0.145501,0,0.00167622,-0.000459913,0.000741851,0.000370288,0,-3.49358e-05
0.015,-0.0244783,-0.0029374,0,0.01,0.02,-0.14,0,0.0152757,-0.145246,0,0.000697093,-0.000459913,-0.00019398,0.000342585,-0.000979131,-0.00093583
0.015,-0.0244783,-0.0029374,0,0.01,0.02,-0.14,0,0.0154265,-0.14501,0,0.000697093,-0.000459913,-0.000153925,0.00031696,0,4.00543e-05
0.015,-0.0244783,-0.0029374,0,0.01,0.02,-0.14,0,0.0155661,-0.144792,0,0.000697093,-0.000459913,-0.000116875,0.000293256,0,3.70499e-05
0.016,-0.0244783,-0.0029374,-0.01,0.01,0.02,-0.14,0,0.0155438,-0.144577,0,0.000697093,-0.000459913,-8.0321e-05,0.000297047,0,3.65544e-05
0.015,-0.0244783,-0.0029374,-0.01,0.01,0.02,-0.14,0,0.0155245,-0.144391,0,0.000697093,-0.000459913,-4.87883e-05,0.000300317,0,3.15327e-05
