dt,roll_imu,pitch_imu,yaw_imu,roll_cal,pitch_cal,yaw_cal,axb,ayb,axn_imu,ayn_imu,axn,ayn
0.015,8.46,-0.84,0,3.24409,-1.07473,0,-0.184077,-0.553211,0.0413087,-0.888979,0.000650465,-0.00010401
0.016,8.44,-0.77,0,3.2442,-1.07504,0,-0.184077,-0.553211,0.0532027,-0.88558,0.000598714,-0.000122249
0.016,8.44,-0.77,0,3.2443,-1.07532,0,-0.184077,-0.553211,0.0532027,-0.88558,0.000551045,-0.000138938
0.015,8.44,-0.77,0,3.24438,-1.07384,0,-0.180161,-0.553211,0.0492865,-0.88558,-0.00311221,-0.000153482
0.015,8.44,-0.77,0,3.24446,-1.07247,0,-0.180161,-0.553211,0.0492865,-0.88558,-0.00287856,-0.000166833
0.016,8.44,-0.77,0,3.24454,-1.07112,0,-0.180161,-0.553211,0.0492865,-0.88558,-0.00264803,-0.000179946
0.016,8.44,-0.77,0,3.24461,-1.06987,0,-0.180161,-0.553211,0.0492865,-0.88558,-0.00243594,-0.000192165
0.015,8.44,-0.77,0,3.24467,-1.0688,0,-0.180161,-0.553211,0.0492865,-0.88558,-0.002253,-0.000202656
0.015,8.44,-0.77,0,3.24473,-1.06781,0,-0.180161,-0.553211,0.0492865,-0.88558,-0.00208379,-0.000212252
0.016,8.44,-0.77,0,3.24478,-1.06683,0,-0.180161,-0.553211,0.0492865,-0.88558,-0.00191686,-0.000221789
0.015,8.44,-0.77,0,3.24483,-1.06599,0,-0.180161,-0.553211,0.0492865,-0.88558,-0.00177284,-0.000230074
0.016,8.44,-0.77,0,3.24488,-1.06516,0,-0.180161,-0.553211,0.0492865,-0.88558,-0.00163074,-0.00023824
0.015,8.44,-0.77,0,3.24492,-1.06444,0,-0.180161,-0.553211,0.0492865,-0.88558,-0.00150825,-0.000245273
0.016,8.44,-0.77,0,3.2448,-1.06373,0,-0.180161,-0.553211,0.0492865,-0.88558,-0.00138731,-0.000224888
0.015,8.44,-0.77,0,3.2447,-1.06312,0,-0.180161,-0.553211,0.0492865,-0.88558,-0.00128305,-0.000207245
0.016,8.44,-0.77,0,3.2446,-1.06252,0,-0.180161,-0.553211,0.0492865,-0.88558,-0.00118016,-0.00019002
0.016,8.44,-0.77,0,3.2445,-1.06196,0,-0.180161,-0.553211,0.0492865,-0.88558,-0.00108548,-0.000174046
0.015,8.44,-0.77,0,3.24442,-1.06148,0,-0.180161,-0.553211,0.0492865,-0.88558,-0.00100385,-0.000160217
