行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,x_slam,y_slam,组合导航位移
1,0.301016,0.306901,0.463023,0.462739,0.510939,0.459684,0.0122046,0.509961
1,0.300023,0.306318,0.463023,0.467635,0.515992,0.459684,0.0122046,0.514969
1,0.299324,0.305756,0.463023,0.472217,0.520719,0.459684,0.0122046,0.519666
1,0.299831,0.305108,0.481129,0.476789,0.525453,0.477783,0.0127335,0.524358
1,0.301374,0.304417,0.481129,0.481654,0.530528,0.477783,0.0127335,0.529352
1,0.300782,0.303896,0.481129,0.486513,0.535593,0.477783,0.0127335,0.534346
1,0.299193,0.303615,0.498834,0.491065,0.540318,0.495472,0.0136127,0.539035
1,0.300076,0.303529,0.498834,0.495617,0.545056,0.495472,0.0136127,0.543727
1,0.301297,0.303696,0.498834,0.500174,0.549813,0.495472,0.0136127,0.548428
1,0.300235,0.304072,0.498834,0.504737,0.554553,0.495472,0.0136127,0.553138
1,0.29917,0.304542,0.516929,0.509614,0.559593,0.513552,0.0144281,0.558161
1,0.298923,0.305065,0.516929,0.514499,0.564628,0.513552,0.0144281,0.563193
1,0.301041,0.305532,0.516929,0.519086,0.569381,0.513552,0.0144281,0.567929
1,0.300579,0.305936,0.516929,0.523984,0.574443,0.513552,0.0144281,0.572978
1,0.299874,0.306183,0.534187,0.528578,0.579178,0.53082,0.0142361,0.577724
1,0.299041,0.306288,0.534187,0.53348,0.584216,0.53082,0.0142361,0.582776
1,0.300116,0.306227,0.534187,0.538073,0.588954,0.53082,0.0142361,0.58752
1,0.301515,0.306114,0.55226,0.54297,0.594031,0.54891,0.0137089,0.592571
1,0.298857,0.305967,0.55226,0.547558,0.598751,0.54891,0.0137089,0.597312
1,0.299932,0.305836,0.55226,0.552145,0.603487,0.54891,0.0137089,0.60205
1,0.299263,0.305782,0.55226,0.556731,0.608213,0.54891,0.0137089,0.606787
1,0.300933,0.30585,0.571798,0.561625,0.613281,0.56842,0.0151446,0.611833
